producto_id,existencia,unidad,ubicacion,actualizado_en
MP001,6800,g,Bodega principal,2026-09-03T09:00:00
MP002,620,g,Bodega principal,2026-09-03T09:00:00
MP003,520,g,Bodega principal,2026-09-03T09:00:00
MP004,430,g,Bodega principal,2026-09-03T09:00:00
MP005,14500,ml,Bodega principal,2026-09-03T09:00:00
MP006,4200,ml,Bodega principal,2026-09-03T09:00:00
MP007,3600,ml,Bodega principal,2026-09-03T09:00:00
MP008,2100,g,Bodega principal,2026-09-03T09:00:00
MP009,3900,g,Bodega principal,2026-09-03T09:00:00
MP010,1450,g,Bodega principal,2026-09-03T09:00:00
MP011,310,g,Bodega principal,2026-09-03T09:00:00
MP012,3600,ml,Bodega principal,2026-09-03T09:00:00
MP013,3300,ml,Bodega principal,2026-09-03T09:00:00
MP014,2900,ml,Bodega principal,2026-09-03T09:00:00
MP015,2600,ml,Bodega principal,2026-09-03T09:00:00
MP016,2800,ml,Bodega principal,2026-09-03T09:00:00
MP017,1700,ml,Bodega principal,2026-09-03T09:00:00
MP018,1300,ml,Bodega principal,2026-09-03T09:00:00
MP019,1500,ml,Bodega principal,2026-09-03T09:00:00
MP020,3200,ml,Bodega principal,2026-09-03T09:00:00
MP021,420,g,Bodega principal,2026-09-03T09:00:00
MP022,720,g,Bodega principal,2026-09-03T09:00:00
MP023,850,g,Bodega principal,2026-09-03T09:00:00
MP024,42000,ml,Bodega principal,2026-09-03T09:00:00
MP025,30000,g,Bodega principal,2026-09-03T09:00:00
MP026,650,g,Bodega principal,2026-09-03T09:00:00
MP027,1850,g,Bodega principal,2026-09-03T09:00:00
MP028,3900,ml,Bodega principal,2026-09-03T09:00:00
MP029,960,g,Bodega principal,2026-09-03T09:00:00
MP030,1250,g,Bodega principal,2026-09-03T09:00:00
