receta_id,componente_producto_id,cantidad,unidad
R-ST001,MP001,600,g
R-ST001,MP024,600,ml
R-ST002,MP002,80,g
R-ST002,MP024,2200,ml
R-ST003,MP003,70,g
R-ST003,MP024,2200,ml
R-ST004,MP004,70,g
R-ST004,MP024,2200,ml
R-ST005,MP009,500,g
R-ST005,MP024,1600,ml
R-ST005,ST001,200,ml
R-ST006,MP022,120,g
R-ST006,MP015,180,ml
R-ST006,ST001,180,ml
R-ST006,MP024,700,ml
R-ST007,MP023,180,g
R-ST007,MP005,650,ml
R-ST007,ST001,120,ml
R-ST008,MP027,300,g
R-ST008,MP028,600,ml
R-ST008,MP026,5,g
R-ST008,ST001,120,ml
R-ST009,MP005,1100,ml
R-ST009,MP008,250,g
R-ST009,MP024,300,ml
R-ST010,MP020,700,ml
R-ST010,MP024,300,ml
R-PT001,ST002,220,ml
R-PT001,ST009,120,ml
R-PT001,ST001,25,ml
R-PT001,MP025,180,g
R-PT002,ST002,200,ml
R-PT002,ST009,110,ml
R-PT002,ST005,70,g
R-PT002,ST001,20,ml
R-PT002,MP025,170,g
R-PT003,MP010,35,g
R-PT003,ST009,260,ml
R-PT003,ST001,25,ml
R-PT003,MP025,180,g
R-PT004,MP011,8,g
R-PT004,ST009,260,ml
R-PT004,ST001,25,ml
R-PT004,MP025,180,g
R-PT005,ST003,240,ml
R-PT005,MP012,80,ml
R-PT005,ST001,25,ml
R-PT005,MP025,180,g
R-PT006,ST003,240,ml
R-PT006,MP013,75,ml
R-PT006,ST001,25,ml
R-PT006,MP025,180,g
R-PT007,ST003,240,ml
R-PT007,MP014,70,ml
R-PT007,ST001,25,ml
R-PT007,MP025,180,g
R-PT008,ST002,240,ml
R-PT008,MP016,80,ml
R-PT008,ST001,20,ml
R-PT008,MP025,180,g
R-PT009,ST004,250,ml
R-PT009,MP015,45,ml
R-PT009,ST001,25,ml
R-PT009,MP025,180,g
R-PT010,MP005,300,ml
R-PT010,ST010,55,ml
R-PT010,ST005,80,g
R-PT010,MP025,160,g
R-PT011,MP010,35,g
R-PT011,MP006,260,ml
R-PT011,ST001,20,ml
R-PT011,MP025,180,g
R-PT012,MP011,8,g
R-PT012,MP007,270,ml
R-PT012,ST001,20,ml
R-PT012,MP025,180,g
R-PT013,ST002,260,ml
R-PT013,MP017,30,ml
R-PT013,MP025,180,g
R-PT014,ST003,220,ml
R-PT014,MP012,80,ml
R-PT014,MP021,8,g
R-PT014,ST001,20,ml
R-PT014,MP025,180,g
R-PT015,ST003,220,ml
R-PT015,MP013,70,ml
R-PT015,ST006,60,g
R-PT015,ST001,20,ml
R-PT015,MP025,170,g
R-PT016,ST002,200,ml
R-PT016,ST009,110,ml
R-PT016,MP019,30,ml
R-PT016,ST001,15,ml
R-PT016,MP025,170,g
R-PT017,ST002,190,ml
R-PT017,ST009,110,ml
R-PT017,ST007,70,g
R-PT017,MP018,15,ml
R-PT017,MP025,160,g
R-PT018,ST004,280,ml
R-PT018,ST008,60,ml
R-PT018,ST001,20,ml
R-PT018,MP025,160,g
R-PT019,MP005,270,ml
R-PT019,MP029,22,g
R-PT019,MP030,25,g
R-PT019,ST001,25,ml
R-PT019,MP025,160,g
R-PT020,ST003,220,ml
R-PT020,MP014,55,ml
R-PT020,MP015,35,ml
R-PT020,ST001,20,ml
R-PT020,MP025,180,g
