receta_id,producto_resultado_id,rendimiento_lote,unidad_rendimiento
R-ST001,ST001,1000,ml
R-ST002,ST002,2000,ml
R-ST003,ST003,2000,ml
R-ST004,ST004,2000,ml
R-ST005,ST005,800,g
R-ST006,ST006,1000,g
R-ST007,ST007,900,g
R-ST008,ST008,1000,ml
R-ST009,ST009,1500,ml
R-ST010,ST010,1000,ml
R-PT001,PT001,1,unidad
R-PT002,PT002,1,unidad
R-PT003,PT003,1,unidad
R-PT004,PT004,1,unidad
R-PT005,PT005,1,unidad
R-PT006,PT006,1,unidad
R-PT007,PT007,1,unidad
R-PT008,PT008,1,unidad
R-PT009,PT009,1,unidad
R-PT010,PT010,1,unidad
R-PT011,PT011,1,unidad
R-PT012,PT012,1,unidad
R-PT013,PT013,1,unidad
R-PT014,PT014,1,unidad
R-PT015,PT015,1,unidad
R-PT016,PT016,1,unidad
R-PT017,PT017,1,unidad
R-PT018,PT018,1,unidad
R-PT019,PT019,1,unidad
R-PT020,PT020,1,unidad
